qid,id,name,affiliation,orcid,viaf,other
,https://orcid.org/0000-0002-0772-0022,Annette Olson,Q40358,0000-0002-0772-0022,,
,https://orcid.org/0000-0001-8338-5134,Annie Simpson,Q193755,0000-0001-8338-5134,,
,https://orcid.org/0000-0002-4325-4030,Anton Güntsch,Q163255,0000-0002-4325-4030,,
,http://viaf.org/viaf/19771885,Armen Leonovich Takhtajan,,,19771885,
,https://orcid.org/0000-0003-1700-6962,Arthur Chapman,Q100600913,0000-0003-1700-6962,,
,http://viaf.org/viaf/61620062,Arthur Cronquist,,,61620062,
,http://viaf.org/viaf/236192,Barbara Mathé,,,236192,
,http://viaf.org/viaf/92780116,Barry Conn,Q1339511,,92780116,
,https://orcid.org/0000-0001-9832-3809,Barry J. Conn,,0000-0001-9832-3809,,
,https://orcid.org/0000-0002-6108-0572,Ben Richardson,Q1191429,0000-0002-6108-0572,,
,http://viaf.org/viaf/265750549,Birgit Gemeinholzer,Q163255,,265750549,
,http://viaf.org/viaf/49306391,C. Emma Powell,,,49306391,
,https://orcid.org/0000-0003-1031-3249 ,Campbell Webb,Q4914768,0000-0003-1031-3249 ,,
,https://orcid.org/0000-0003-1031-3249,Campbell Webb ,Q4914768,0000-0003-1031-3249,,
,https://orcid.org/0000-0001-9382-5594,Carol Roetzel Butler,Q131626,0000-0001-9382-5594,,
Q51883987,http://www.wikidata.org/entity/Q51883987,Charles Copp,,,,
,https://orcid.org/0000-0002-2541-5822,Chris Freeland,Q1852803,0000-0002-2541-5822,,
Q51892660,http://www.wikidata.org/entity/Q51892660,Chris Ward,Q1339511,,,
Q51885215,http://www.wikidata.org/entity/Q51885215,Christopher Hobson,Q1339511,,,
,https://orcid.org/0000-0002-8339-728X,Constance Rinaldo,Q13371,0000-0002-8339-728X,,
,https://orcid.org/0000-0002-2352-5497,Dag Endresen,Q1531570,0000-0002-2352-5497,,
,https://orcid.org/0000-0003-3445-7562,Damiano Oldoni,Q7315097,0000-0003-3445-7562,,
,http://viaf.org/viaf/84746223,Dan H. Nicolson,,,84746223,
,https://orcid.org/0000-0001-8068-3769,Dan Stowell,Q195668,0000-0001-8068-3769,,
,https://orcid.org/0000-0002-6513-4996,Dave Vieglais,Q1111807,0000-0002-6513-4996,,
,https://orcid.org/0000-0003-1273-1807,David Bloom,Q98382028,0000-0003-1273-1807,,
,https://orcid.org/0000-0001-9325-3100,Denné Reed,Q49213,0000-0001-9325-3100,,
,http://viaf.org/viaf/194025057,Diane Wyse Jackson,Q1339511,,194025057,
,https://orcid.org/0000-0003-1593-1417,Dimitry Mozzherin,Q82486,0000-0003-1593-1417,,
,https://orcid.org/0000-0001-6492-4016,Donald Hobern,Q1531570,0000-0001-6492-4016,,
,http://rs.tdwg.org/contributor/3,Doug Holland,Q1852803,,,http://rs.tdwg.org/contributor/3
Q100599637,http://www.wikidata.org/entity/Q100599637,Douglas Boyer,Q168751,,,
Q28913578,http://www.wikidata.org/entity/Q28913578,Éamonn Ó Tuama,Q1531570,,,
,https://orcid.org/0000-0002-5887-9543,Edward Baker,Q309388,0000-0002-5887-9543,,
,http://viaf.org/viaf/76413207,Elizabeth R. Smith,,,76413207,
,https://orcid.org/0000-0001-5620-4764,Eric Kansa,Q13371,0000-0001-5620-4764,,
,http://viaf.org/viaf/11457657,Erik A. Mennega,,,11457657,
,http://viaf.org/viaf/61185227,Frances E. M. Cook,Q18748726,,61185227,
,https://orcid.org/0000-0002-6321-9398,Francisco Pando,,0000-0002-6321-9398,,
,http://viaf.org/viaf/44359106,Frank A Bisby ,Q76473,,44359106,
,http://viaf.org/viaf/270400376,Frans A. Stafleu,,,270400376,
,http://rs.tdwg.org/contributor/12,Gabriele Dröge,Q163255,,,http://rs.tdwg.org/contributor/12
,https://orcid.org/0000-0002-5178-4170,Gail E. Kampmeier,Q457281,0000-0002-5178-4170,,
,http://viaf.org/viaf/41889168,Gavin D. R. Bridson,,,41889168,
,https://orcid.org/0000-0002-3850-9983,Greg Riccardi,Q861548,0000-0002-3850-9983,,
,https://orcid.org/0000-0002-2954-9027,Greg Whitbread,Q4914768,0000-0002-2954-9027,,
,https://orcid.org/0000-0001-7023-7386,Gregor Hagedorn,Q832099,0000-0001-7023-7386,,
,https://orcid.org/0000-0002-4737-745X,Günter Waibel,,0000-0002-4737-745X,,
,http://viaf.org/viaf/77423299,Holger Zetzsche,Q163255,,77423299,
,http://viaf.org/viaf/17299201,Hugh Synge,Q30296226,,17299201,
,https://orcid.org/0000-0003-4176-2274,Ivan Teage,,0000-0003-4176-2274,,
Q51883962,http://www.wikidata.org/entity/Q51883962,Javier de la Torre,Q163255,,,
